price,district,area,room_num,bath_num,furnished,has_parking,has_elevator,has_air,features_detail,name,description
800 €,Es Camp Redó,90,2,1,,,True,,Calefacción%;%Sin plaza parking%;%Sin amueblar%;%Aire acondicionado%;%Planta número 2%;%Año construcción 1970%;%Cerca de transporte público%;%Sin ascensor,Alquiler piso un paso del centro en Es Camp Redó Palma de Mallorca,"UN PASO DEL CENTRO.Piso para entrar a vivir en una de las zonas más demandadas y mejor ubicadas de Palma como es Camp Redò y más concretamente S'Escorxador. Este piso en segunda planta SIN ASCENSOR, se alquila SIN MUEBLES y cuenta con salón comedor, cocina con barra americana equipada, dos habitaciones una doble y otra individual esta última con armario. Siendo como es una zona muy céntrica y de moda gracias al complejo interior de S'escorxador, que cuenta con supermercado Eroski, Cine Renoir, y con Mercat Gastronómic de Sant Joan, donde se pueden degustar diferentes tipos de comidas de todo el Mundo además de ser una zona de bares muy actual. ¿A qué estás esperando? LLÁMANOS y estaremos encantados de enseñar un piso fantástico que posiblemente se convertirá en tu nuevo hogar."
1.100 €,Santa Catalina,105,3,2,,,True,True,Amueblado%;%Aire acondicionado%;%Ascensor,Alquiler piso  con 3 habitaciones amueblado con ascensor y aire acondicionado en Palma de Mallorca,"Piso con 3 habitaciones amueblado con ascensor y aire acondicionado.se alquila piso amueblado situado en Calle Juan Crespí, muy cerca de la Calle Caro y a 3-4min a pie de la Plaza Progreso en el barrio de Sta. Catalina. Consta de un amplio salón, cocina reformada y equipada con electrodomésticos, (horno, nevera, lavadora, microondas y calentador eléctrico). Tres dormitorios, un baño completo y un aseo. Aire acondicionado frío calor en el salón. Tv de plasma. 1100€/mes con gastos de agua, comunidad incluidos en el precio (electricidad, gas y tasa incineradora aparte) para alquiler de larga duración. Un mes de fianza y un mes de agencia. Imprescindible nómina/contrato de trabajo. Disponible para entrar a vivir a partir del 6-7de Septiembre."
1.095 €,Son Dameto,98,3,2,,,True,True,Plaza parking%;%Aire acondicionado%;%Ascensor%;%Piscina comunitaria,Alquiler piso en carrer sevilla 13 ¡alquila ahora y no pagues hasta diciembre! en Palma de Mallorca,"¡Alquila ahora y no pagues hasta Diciembre!.¡Alquila ahora y no pagues hasta Diciembre!Vivienda de 3 dormitorios, en urbanización privada, cercana a zona colegios, hospitales y con buen acceso a la vía de Cintura de Palma de Mallorca. Cuenta con plaza de garaje y trastero.No amueblada, cocina totalmente amueblada y semi equipada con horno, vitrocerámica y campana.Sistema de aire acondicionado frío/ calor por conductos, cerramientos climalit y armarios empotrados.Zonas comunitarias con jardines, solárium, parque infantil, piscina y pista de pádel.Fácil acceso a la autopista y a escasos minutos del centro de Palma. Consulte condiciones y disponibilidad.Sin comisiones de agencia.REQUISITOS1 mes de fianza + Seguro de impago.A la firma de contrato se solicitará un seguro de vivienda (contenido).Aportación de 3 últimas nóminas o similar para acreditar ratio de solvencia.En Vivenio estamos trabajando poniendo todo nuestro esfuerzo en ofrecer el mejor servicio y realizar nuestra actividad con el mínimo riesgo. Por esto, nuestras visitas se realizan con las máximas garantías y medidas de seguridad posibles.Nuestros edificios y viviendas cuentan con medidas de higiene y desinfección necesarias.Hemos dotado a nuestro equipo comercial con materiales de protección para realizar la visita de forma segura."
895 €,S´Arenal,100,3,2,,,True,,Calefacción%;%Sin plaza parking%;%Sin amueblar%;%Aire acondicionado%;%Vistas al mar%;%Sin ascensor,Alquiler casa adosada chalet adosado a pocos metros del mar en Palma de Mallorca,"CHALET ADOSADO A POCOS METROS DEL MAR.Disponemos de un chalet adosado en el Arenal a pocos metros del mar, consta de dos alturas, salón comedor, cocina independiente, 3 habitaciones dobles, 2 baños, 2 terrazas, vistas al mar, completamente amueblado y equipado, incluye la comunidad y el agua, se pide 1 mes de fianza y 1 mes de agencia. Solvencia económica demostrable. GRAN OPORTUNIDAD."
1.000 €,Santa Catalina,80,1,1,,,,,Amueblado%;%Aire acondicionado%;%Cerca de transporte público,Alquiler apartamento de un dormitorio con terraza en Palma de Mallorca,"de un dormitorio con terraza.Apartamento de un dormitorio muy bien presentado en planta baja en el corazón de Santa Catalina. El comedor y salón están abiertos a la cocina totalmente equipada y con isla. Tiene lavandería, vestidor, gran dormitorio doble y cuarto de baño con ducha. Hay otro baño de invitados y una terraza privada. La propiedad tiene aire acondicionado y es de doble acristalamiento en todas partes.A very nicely presented fully reformed one bedroom ground floor apartment in the heart of Santa Catalina. Dining area and lounge open plan to the fully equipped kitchen with island. Laundry room, walk in wardrobe, large double bedroom and en-suite shower room. There is a further guest bathroom and a private terrace. The property has air conditioning and is double glazed throughout."
900 €,Foners,70,2,2,,,True,,Sin calefacción%;%Sin plaza parking%;%Amueblado%;%Sin aire acondicionado%;%Planta número 2%;%Año construcción 2007%;%Cerca de transporte público%;%Ascensor,Alquiler piso  en joan alcover en edificio en Palma de Mallorca,"Piso en Joan Alcover en edificio.Piso en Joan Alcover en edificio familiarEn Palma de Mallorca, a poca distancia del Palau de Congresos, se alquila esta vivienda muy luminosa,  amueblada, en edificio de tan solo 2 viviendas por planta. Consta de 70 m2, todo exterior y con amplios ventanales. Un gran salón comedor. Cocina equipada con electrodomésticos, incluido lavavajillas. La habitación Máster tiene el baño completo en suite y armarios empotrados. La segunda habitación es individual, también con armario empotrado. Hay un segundo baño con ducha.  Coladuría con lavadora, secadora y pica.El edificio es de construcción reciente, con ascensor, pocos vecinos y muy familiar. Hall muy cuidado y con rampa adaptada para minusválidos.Muy cerca de un supermercado Mercadona, de restaurantes, farmacias, colegios, trasporte público, multitud de servicios y ocio. Sin duda un lugar idóneo donde residir.Buscamos inquilinos serios y cuidadosos, imprescindible nómina con contrato indefinido o justificante de ingresos suficientes. Dos meses de fianza y un mes de honorarios agencia.  Gastos de comunidad e IBI a cargo del propietario."
1.500 €,Porto Pi,230,4,3,,,True,,Calefacción%;%Amueblado%;%Aire acondicionado%;%Vistas al mar%;%Ascensor%;%Piscina comunitaria,"Alquiler piso en de gabriel roca 45 piso con 4 habitaciones amueblado con ascensor, calefacción, aire acondicionado y vistas al mar en Palma de Mallorca","Piso con 4 habitaciones amueblado con ascensor, calefacción, aire acondicionado y vistas al mar.En pleno Paseo Marítimo, en edificio de lujo, piso de 230 metros cuadrados con vistas al mar. La vivienda rodeada de terrazas, consta de amplio salón-comedor, cocina-office amueblada y equipada, 4 habitaciones, un aseo y 2 cuartos de baño completos (1 en suite). El piso se encuentra completamente amueblado y equipado, listo para entrar a vivir y dispone de armarios empotrados en toda la vivienda, suelos de mármol, aire acondicionado con bomba de frío-calor, calefacción por radiadores eléctricos en todas las estancias y ventanas de aluminio con cristal doble tipo climalit. La vivienda incluye una plaza de aparcamiento en el edificio. El edificio dispone de piscina comunitaria, conserge, cuarto de bicicletas, 2 ascensores y 1 montacargas."
525 €,Cala Major,38,1,1,,,True,,Amueblado%;%Año construcción 1970%;%Ascensor,Alquiler estudio  amueblado con ascensor en Palma de Mallorca,"Estudio amueblado con ascensor.MARIVENT. Edificio Joan de Saridakis. Se alquila coqueto estudio, completamente reformado. Distribuido en dormitorio, sala y cocina integrada y 1 baño. Ascensor. Completamente amueblado y equipado con electrodomésticos. Muy cuidado. Precio alquiler: 525 €. GABINETE INMOBILIARIO PALMA. Telf. "
980 €,El Terreno,60,2,1,,,True,,Calefacción%;%Sin plaza parking%;%Amueblado%;%Aire acondicionado%;%Planta número 6%;%Vistas al mar%;%Cerca de transporte público%;%Ascensor,Alquiler apartamento en avinguda gabriel roca con vistas a la bahia en Palma de Mallorca,CON VISTAS A LA BAHIA.RECIEN REFORMADO APARTAMENTO DE DOS DORMITORIOS. SEMIAMUEBLADO. DISPONE DE COCINA INDEPENDIENTE Y BAÑO COMPLETO. HABITACIONES CON ARMARIOS EMPOTRADOS. AMPLIO SALON CON VISTAS A PASEO MARITIMO. APARATOS AACC EN TODAS LAS DEPENDENCIAS. NO SE ACEPTAN ANIMALES. IMPRESCINDIBLE PRESENTAR REFERENCIAS. INTERESADOS CONTACTAR TELEFONICAMENTE O MEDIANTE MAIL. 
1.075 €,Son Dameto,87,2,1,,True,True,,Plaza parking%;%Ascensor%;%Piscina comunitaria,Alquiler planta baja en carrer sevilla 7 ¡alquila ahora y no pagues hasta diciembre! en Palma de Mallorca,"¡Alquila ahora y no pagues hasta Diciembre!.¡Alquila ahora y no pagues hasta Diciembre!Vivienda de 2 dormitorios, en urbanización privada, cercana a zona colegios, hospitales y con buen acceso a la vía de Cintura de Palma de Mallorca. Cuenta con plaza de garaje y trastero.No amueblada, cocina totalmente amueblada y semi equipada con horno, vitrocerámica y campana.Sistema de aire acondicionado frío/ calor por conductos, cerramientos climalit y armarios empotrados.Zonas comunitarias con jardines, solárium, parque infantil, piscina y pista de pádel.Fácil acceso a la autopista y a escasos minutos del centro de Palma. Consulte condiciones y disponibilidad.Sin comisiones de agencia.REQUISITOS1 mes de fianza + Seguro de impago.A la firma de contrato se solicitará un seguro de vivienda (contenido).Aportación de 3 últimas nóminas o similar para acreditar ratio de solvencia.En Vivenio estamos trabajando poniendo todo nuestro esfuerzo en ofrecer el mejor servicio y realizar nuestra actividad con el mínimo riesgo. Por esto, nuestras visitas se realizan con las máximas garantías y medidas de seguridad posibles.Nuestros edificios y viviendas cuentan con medidas de higiene y desinfección necesarias.Hemos dotado a nuestro equipo comercial con materiales de protección para realizar la visita de forma segura."
